path,class_name,source_type,output_name,group_id
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0001720.jpg,rocket,real,real_0001720.jpg,real::rocket::0001720
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0006269.jpg,rocket,real,real_0006269.jpg,real::rocket::0006269
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0102552.jpg,rocket,real,real_0102552.jpg,real::rocket::0102552
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0102743.jpg,rocket,real,real_0102743.jpg,real::rocket::0102743
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0202264.jpg,rocket,real,real_0202264.jpg,real::rocket::0202264
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0203241.jpg,rocket,real,real_0203241.jpg,real::rocket::0203241
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0301769.jpg,rocket,real,real_0301769.jpg,real::rocket::0301769
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0301775.jpg,rocket,real,real_0301775.jpg,real::rocket::0301775
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0600899.jpg,rocket,real,real_0600899.jpg,real::rocket::0600899
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0701542.jpg,rocket,real,real_0701542.jpg,real::rocket::0701542
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0701556.jpg,rocket,real,real_0701556.jpg,real::rocket::0701556
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0701557.jpg,rocket,real,real_0701557.jpg,real::rocket::0701557
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0701576.jpg,rocket,real,real_0701576.jpg,real::rocket::0701576
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0701578.jpg,rocket,real,real_0701578.jpg,real::rocket::0701578
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0701581.jpg,rocket,real,real_0701581.jpg,real::rocket::0701581
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0701583.jpg,rocket,real,real_0701583.jpg,real::rocket::0701583
C:\Users\enzoo\PycharmProjects\orbitshield-CV\orbitshield-acv\dataset\raw\rocket\0701594.jpg,rocket,real,real_0701594.jpg,real::rocket::0701594
